"","Pclass","Sex","Age","SibSp","Parch","Fare","Embarked","Rango_Age","Sobreviviente"
"458","Primera clase","Femenino",37,"Con hermanos o cónyuges","Sin hijos ni padres",51.8625,"Southampton","31-40","Sí"
"459","Segunda clase","Femenino",50,"Sin hermanos ni cónyuges","Sin hijos ni padres",10.5,"Southampton","41-50","Sí"
"460","Tercera clase","Masculino",29,"Sin hermanos ni cónyuges","Sin hijos ni padres",7.75,"Queenstown","21-30","No"
"461","Primera clase","Masculino",48,"Sin hermanos ni cónyuges","Sin hijos ni padres",26.55,"Southampton","41-50","Sí"
"462","Tercera clase","Masculino",34,"Sin hermanos ni cónyuges","Sin hijos ni padres",8.05,"Southampton","31-40","No"
"463","Primera clase","Masculino",47,"Sin hermanos ni cónyuges","Sin hijos ni padres",38.5,"Southampton","41-50","No"
"464","Segunda clase","Masculino",48,"Sin hermanos ni cónyuges","Sin hijos ni padres",13,"Southampton","41-50","No"
"465","Tercera clase","Masculino",29,"Sin hermanos ni cónyuges","Sin hijos ni padres",8.05,"Southampton","21-30","No"
"466","Tercera clase","Masculino",38,"Sin hermanos ni cónyuges","Sin hijos ni padres",7.05,"Southampton","31-40","No"
"467","Segunda clase","Masculino",33,"Sin hermanos ni cónyuges","Sin hijos ni padres",0,"Southampton","31-40","No"
"468","Primera clase","Masculino",56,"Sin hermanos ni cónyuges","Sin hijos ni padres",26.55,"Southampton","51-60","No"
"469","Tercera clase","Masculino",29,"Sin hermanos ni cónyuges","Sin hijos ni padres",7.725,"Queenstown","21-30","No"
"470","Tercera clase","Femenino",0,"Con hermanos o cónyuges","Con hijos o padres",19.2583,"Cherbourg","0-10","Sí"
"471","Tercera clase","Masculino",29,"Sin hermanos ni cónyuges","Sin hijos ni padres",7.25,"Southampton","21-30","No"
"472","Tercera clase","Masculino",38,"Sin hermanos ni cónyuges","Sin hijos ni padres",8.6625,"Southampton","31-40","No"
"473","Segunda clase","Femenino",33,"Con hermanos o cónyuges","Con hijos o padres",27.75,"Southampton","31-40","Sí"
"474","Segunda clase","Femenino",23,"Sin hermanos ni cónyuges","Sin hijos ni padres",13.7917,"Cherbourg","21-30","Sí"
"475","Tercera clase","Femenino",22,"Sin hermanos ni cónyuges","Sin hijos ni padres",9.8375,"Southampton","21-30","No"
"476","Primera clase","Masculino",47,"Sin hermanos ni cónyuges","Sin hijos ni padres",52,"Southampton","41-50","No"
"477","Segunda clase","Masculino",34,"Con hermanos o cónyuges","Sin hijos ni padres",21,"Southampton","31-40","No"
"478","Tercera clase","Masculino",29,"Con hermanos o cónyuges","Sin hijos ni padres",7.0458,"Southampton","21-30","No"
"479","Tercera clase","Masculino",22,"Sin hermanos ni cónyuges","Sin hijos ni padres",7.5208,"Southampton","21-30","No"
"480","Tercera clase","Femenino",2,"Sin hermanos ni cónyuges","Con hijos o padres",12.2875,"Southampton","0-10","Sí"
"481","Tercera clase","Masculino",9,"Con hermanos o cónyuges","Con hijos o padres",46.9,"Southampton","0-10","No"
"482","Segunda clase","Masculino",33,"Sin hermanos ni cónyuges","Sin hijos ni padres",0,"Southampton","31-40","No"
"483","Tercera clase","Masculino",50,"Sin hermanos ni cónyuges","Sin hijos ni padres",8.05,"Southampton","41-50","No"
"484","Tercera clase","Femenino",63,"Sin hermanos ni cónyuges","Sin hijos ni padres",9.5875,"Southampton","61-70","Sí"
"485","Primera clase","Masculino",25,"Con hermanos o cónyuges","Sin hijos ni padres",91.0792,"Cherbourg","21-30","Sí"
"486","Tercera clase","Femenino",5,"Con hermanos o cónyuges","Con hijos o padres",25.4667,"Southampton","0-10","No"
"487","Primera clase","Femenino",35,"Con hermanos o cónyuges","Sin hijos ni padres",90,"Southampton","31-40","Sí"
"488","Primera clase","Masculino",58,"Sin hermanos ni cónyuges","Sin hijos ni padres",29.7,"Cherbourg","51-60","No"
"489","Tercera clase","Masculino",30,"Sin hermanos ni cónyuges","Sin hijos ni padres",8.05,"Southampton","21-30","No"
"490","Tercera clase","Masculino",9,"Con hermanos o cónyuges","Con hijos o padres",15.9,"Southampton","0-10","Sí"
"491","Tercera clase","Masculino",26,"Con hermanos o cónyuges","Sin hijos ni padres",19.9667,"Southampton","21-30","No"
"492","Tercera clase","Masculino",21,"Sin hermanos ni cónyuges","Sin hijos ni padres",7.25,"Southampton","21-30","No"
"493","Primera clase","Masculino",55,"Sin hermanos ni cónyuges","Sin hijos ni padres",30.5,"Southampton","51-60","No"
"494","Primera clase","Masculino",71,"Sin hermanos ni cónyuges","Sin hijos ni padres",49.5042,"Cherbourg","71-80","No"
"495","Tercera clase","Masculino",21,"Sin hermanos ni cónyuges","Sin hijos ni padres",8.05,"Southampton","21-30","No"
"496","Tercera clase","Masculino",29,"Sin hermanos ni cónyuges","Sin hijos ni padres",14.4583,"Cherbourg","21-30","No"
"497","Primera clase","Femenino",54,"Con hermanos o cónyuges","Sin hijos ni padres",78.2667,"Cherbourg","51-60","Sí"
"498","Tercera clase","Masculino",29,"Sin hermanos ni cónyuges","Sin hijos ni padres",15.1,"Southampton","21-30","No"
"499","Primera clase","Femenino",25,"Con hermanos o cónyuges","Con hijos o padres",151.55,"Southampton","21-30","No"
"500","Tercera clase","Masculino",24,"Sin hermanos ni cónyuges","Sin hijos ni padres",7.7958,"Southampton","21-30","No"
"501","Tercera clase","Masculino",17,"Sin hermanos ni cónyuges","Sin hijos ni padres",8.6625,"Southampton","11-20","No"
"502","Tercera clase","Femenino",21,"Sin hermanos ni cónyuges","Sin hijos ni padres",7.75,"Queenstown","21-30","No"
"503","Tercera clase","Femenino",25,"Sin hermanos ni cónyuges","Sin hijos ni padres",7.6292,"Queenstown","21-30","No"
"504","Tercera clase","Femenino",37,"Sin hermanos ni cónyuges","Sin hijos ni padres",9.5875,"Southampton","31-40","No"
"505","Primera clase","Femenino",16,"Sin hermanos ni cónyuges","Sin hijos ni padres",86.5,"Southampton","11-20","Sí"
"506","Primera clase","Masculino",18,"Con hermanos o cónyuges","Sin hijos ni padres",108.9,"Cherbourg","11-20","No"
"507","Segunda clase","Femenino",33,"Sin hermanos ni cónyuges","Con hijos o padres",26,"Southampton","31-40","Sí"
"508","Primera clase","Masculino",39,"Sin hermanos ni cónyuges","Sin hijos ni padres",26.55,"Southampton","31-40","Sí"
"509","Tercera clase","Masculino",28,"Sin hermanos ni cónyuges","Sin hijos ni padres",22.525,"Southampton","21-30","No"
"510","Tercera clase","Masculino",26,"Sin hermanos ni cónyuges","Sin hijos ni padres",56.4958,"Southampton","21-30","Sí"
"511","Tercera clase","Masculino",29,"Sin hermanos ni cónyuges","Sin hijos ni padres",7.75,"Queenstown","21-30","Sí"
"512","Tercera clase","Masculino",29,"Sin hermanos ni cónyuges","Sin hijos ni padres",8.05,"Southampton","21-30","No"
"513","Primera clase","Masculino",36,"Sin hermanos ni cónyuges","Sin hijos ni padres",26.2875,"Southampton","31-40","Sí"
"514","Primera clase","Femenino",54,"Con hermanos o cónyuges","Sin hijos ni padres",59.4,"Cherbourg","51-60","Sí"
"515","Tercera clase","Masculino",24,"Sin hermanos ni cónyuges","Sin hijos ni padres",7.4958,"Southampton","21-30","No"
"516","Primera clase","Masculino",47,"Sin hermanos ni cónyuges","Sin hijos ni padres",34.0208,"Southampton","41-50","No"
"517","Segunda clase","Femenino",34,"Sin hermanos ni cónyuges","Sin hijos ni padres",10.5,"Southampton","31-40","Sí"
"518","Tercera clase","Masculino",29,"Sin hermanos ni cónyuges","Sin hijos ni padres",24.15,"Queenstown","21-30","No"
"519","Segunda clase","Femenino",36,"Con hermanos o cónyuges","Sin hijos ni padres",26,"Southampton","31-40","Sí"
"520","Tercera clase","Masculino",32,"Sin hermanos ni cónyuges","Sin hijos ni padres",7.8958,"Southampton","31-40","No"
"521","Primera clase","Femenino",30,"Sin hermanos ni cónyuges","Sin hijos ni padres",93.5,"Southampton","21-30","Sí"
"522","Tercera clase","Masculino",22,"Sin hermanos ni cónyuges","Sin hijos ni padres",7.8958,"Southampton","21-30","No"
"523","Tercera clase","Masculino",29,"Sin hermanos ni cónyuges","Sin hijos ni padres",7.225,"Cherbourg","21-30","No"
"524","Primera clase","Femenino",44,"Sin hermanos ni cónyuges","Con hijos o padres",57.9792,"Cherbourg","41-50","Sí"
"525","Tercera clase","Masculino",29,"Sin hermanos ni cónyuges","Sin hijos ni padres",7.2292,"Cherbourg","21-30","No"
"526","Tercera clase","Masculino",40,"Sin hermanos ni cónyuges","Sin hijos ni padres",7.75,"Queenstown","31-40","No"
"527","Segunda clase","Femenino",50,"Sin hermanos ni cónyuges","Sin hijos ni padres",10.5,"Southampton","41-50","Sí"
"528","Primera clase","Masculino",47,"Sin hermanos ni cónyuges","Sin hijos ni padres",221.7792,"Southampton","41-50","No"
"529","Tercera clase","Masculino",39,"Sin hermanos ni cónyuges","Sin hijos ni padres",7.925,"Southampton","31-40","No"
"530","Segunda clase","Masculino",23,"Con hermanos o cónyuges","Con hijos o padres",11.5,"Southampton","21-30","No"
"531","Segunda clase","Femenino",2,"Con hermanos o cónyuges","Con hijos o padres",26,"Southampton","0-10","Sí"
"532","Tercera clase","Masculino",29,"Sin hermanos ni cónyuges","Sin hijos ni padres",7.2292,"Cherbourg","21-30","No"
"533","Tercera clase","Masculino",17,"Con hermanos o cónyuges","Con hijos o padres",7.2292,"Cherbourg","11-20","No"
"534","Tercera clase","Femenino",17,"Sin hermanos ni cónyuges","Con hijos o padres",22.3583,"Cherbourg","11-20","Sí"
"535","Tercera clase","Femenino",30,"Sin hermanos ni cónyuges","Sin hijos ni padres",8.6625,"Southampton","21-30","No"
"536","Segunda clase","Femenino",7,"Sin hermanos ni cónyuges","Con hijos o padres",26.25,"Southampton","0-10","Sí"
"537","Primera clase","Masculino",45,"Sin hermanos ni cónyuges","Sin hijos ni padres",26.55,"Southampton","41-50","No"
"538","Primera clase","Femenino",30,"Sin hermanos ni cónyuges","Sin hijos ni padres",106.425,"Cherbourg","21-30","Sí"
"539","Tercera clase","Masculino",29,"Sin hermanos ni cónyuges","Sin hijos ni padres",14.5,"Southampton","21-30","No"
"540","Primera clase","Femenino",22,"Sin hermanos ni cónyuges","Con hijos o padres",49.5,"Cherbourg","21-30","Sí"
"541","Primera clase","Femenino",36,"Sin hermanos ni cónyuges","Con hijos o padres",71,"Southampton","31-40","Sí"
"542","Tercera clase","Femenino",9,"Con hermanos o cónyuges","Con hijos o padres",31.275,"Southampton","0-10","No"
"543","Tercera clase","Femenino",11,"Con hermanos o cónyuges","Con hijos o padres",31.275,"Southampton","11-20","No"
"544","Segunda clase","Masculino",32,"Con hermanos o cónyuges","Sin hijos ni padres",26,"Southampton","31-40","Sí"
"545","Primera clase","Masculino",50,"Con hermanos o cónyuges","Sin hijos ni padres",106.425,"Cherbourg","41-50","No"
"546","Primera clase","Masculino",64,"Sin hermanos ni cónyuges","Sin hijos ni padres",26,"Southampton","61-70","No"
"547","Segunda clase","Femenino",19,"Con hermanos o cónyuges","Sin hijos ni padres",26,"Southampton","11-20","Sí"
"548","Segunda clase","Masculino",37,"Sin hermanos ni cónyuges","Sin hijos ni padres",13.8625,"Cherbourg","31-40","Sí"
"549","Tercera clase","Masculino",33,"Con hermanos o cónyuges","Con hijos o padres",20.525,"Southampton","31-40","No"
"550","Segunda clase","Masculino",8,"Con hermanos o cónyuges","Con hijos o padres",36.75,"Southampton","0-10","Sí"
"551","Primera clase","Masculino",17,"Sin hermanos ni cónyuges","Con hijos o padres",110.8833,"Cherbourg","11-20","Sí"
"552","Segunda clase","Masculino",27,"Sin hermanos ni cónyuges","Sin hijos ni padres",26,"Southampton","21-30","No"
"553","Tercera clase","Masculino",29,"Sin hermanos ni cónyuges","Sin hijos ni padres",7.8292,"Queenstown","21-30","No"
"554","Tercera clase","Masculino",22,"Sin hermanos ni cónyuges","Sin hijos ni padres",7.225,"Cherbourg","21-30","Sí"
"555","Tercera clase","Femenino",22,"Sin hermanos ni cónyuges","Sin hijos ni padres",7.775,"Southampton","21-30","Sí"
"556","Primera clase","Masculino",62,"Sin hermanos ni cónyuges","Sin hijos ni padres",26.55,"Southampton","61-70","No"
"557","Primera clase","Femenino",48,"Con hermanos o cónyuges","Sin hijos ni padres",39.6,"Cherbourg","41-50","Sí"
"558","Primera clase","Masculino",47,"Sin hermanos ni cónyuges","Sin hijos ni padres",227.525,"Cherbourg","41-50","No"
"559","Primera clase","Femenino",39,"Con hermanos o cónyuges","Con hijos o padres",79.65,"Southampton","31-40","Sí"
"560","Tercera clase","Femenino",36,"Con hermanos o cónyuges","Sin hijos ni padres",17.4,"Southampton","31-40","Sí"
"561","Tercera clase","Masculino",29,"Sin hermanos ni cónyuges","Sin hijos ni padres",7.75,"Queenstown","21-30","No"
"562","Tercera clase","Masculino",40,"Sin hermanos ni cónyuges","Sin hijos ni padres",7.8958,"Southampton","31-40","No"
"563","Segunda clase","Masculino",28,"Sin hermanos ni cónyuges","Sin hijos ni padres",13.5,"Southampton","21-30","No"
"564","Tercera clase","Masculino",29,"Sin hermanos ni cónyuges","Sin hijos ni padres",8.05,"Southampton","21-30","No"
"565","Tercera clase","Femenino",25,"Sin hermanos ni cónyuges","Sin hijos ni padres",8.05,"Southampton","21-30","No"
"566","Tercera clase","Masculino",24,"Con hermanos o cónyuges","Sin hijos ni padres",24.15,"Southampton","21-30","No"
"567","Tercera clase","Masculino",19,"Sin hermanos ni cónyuges","Sin hijos ni padres",7.8958,"Southampton","11-20","No"
"568","Tercera clase","Femenino",29,"Sin hermanos ni cónyuges","Con hijos o padres",21.075,"Southampton","21-30","No"
"569","Tercera clase","Masculino",29,"Sin hermanos ni cónyuges","Sin hijos ni padres",7.2292,"Cherbourg","21-30","No"
"570","Tercera clase","Masculino",32,"Sin hermanos ni cónyuges","Sin hijos ni padres",7.8542,"Southampton","31-40","Sí"
"571","Segunda clase","Masculino",62,"Sin hermanos ni cónyuges","Sin hijos ni padres",10.5,"Southampton","61-70","Sí"
"572","Primera clase","Femenino",53,"Con hermanos o cónyuges","Sin hijos ni padres",51.4792,"Southampton","51-60","Sí"
"573","Primera clase","Masculino",36,"Sin hermanos ni cónyuges","Sin hijos ni padres",26.3875,"Southampton","31-40","Sí"
"574","Tercera clase","Femenino",22,"Sin hermanos ni cónyuges","Sin hijos ni padres",7.75,"Queenstown","21-30","Sí"
"575","Tercera clase","Masculino",16,"Sin hermanos ni cónyuges","Sin hijos ni padres",8.05,"Southampton","11-20","No"
"576","Tercera clase","Masculino",19,"Sin hermanos ni cónyuges","Sin hijos ni padres",14.5,"Southampton","11-20","No"
"577","Segunda clase","Femenino",34,"Sin hermanos ni cónyuges","Sin hijos ni padres",13,"Southampton","31-40","Sí"
"578","Primera clase","Femenino",39,"Con hermanos o cónyuges","Sin hijos ni padres",55.9,"Southampton","31-40","Sí"
"579","Tercera clase","Femenino",26,"Con hermanos o cónyuges","Sin hijos ni padres",14.4583,"Cherbourg","21-30","No"
"580","Tercera clase","Masculino",32,"Sin hermanos ni cónyuges","Sin hijos ni padres",7.925,"Southampton","31-40","Sí"
"581","Segunda clase","Femenino",25,"Con hermanos o cónyuges","Con hijos o padres",30,"Southampton","21-30","Sí"
"582","Primera clase","Femenino",39,"Con hermanos o cónyuges","Con hijos o padres",110.8833,"Cherbourg","31-40","Sí"
"583","Segunda clase","Masculino",54,"Sin hermanos ni cónyuges","Sin hijos ni padres",26,"Southampton","51-60","No"
"584","Primera clase","Masculino",36,"Sin hermanos ni cónyuges","Sin hijos ni padres",40.125,"Cherbourg","31-40","No"
"585","Tercera clase","Masculino",29,"Sin hermanos ni cónyuges","Sin hijos ni padres",8.7125,"Cherbourg","21-30","No"
"586","Primera clase","Femenino",18,"Sin hermanos ni cónyuges","Con hijos o padres",79.65,"Southampton","11-20","Sí"
"587","Segunda clase","Masculino",47,"Sin hermanos ni cónyuges","Sin hijos ni padres",15,"Southampton","41-50","No"
"588","Primera clase","Masculino",60,"Con hermanos o cónyuges","Con hijos o padres",79.2,"Cherbourg","51-60","Sí"
"589","Tercera clase","Masculino",22,"Sin hermanos ni cónyuges","Sin hijos ni padres",8.05,"Southampton","21-30","No"
"590","Tercera clase","Masculino",29,"Sin hermanos ni cónyuges","Sin hijos ni padres",8.05,"Southampton","21-30","No"
"591","Tercera clase","Masculino",35,"Sin hermanos ni cónyuges","Sin hijos ni padres",7.125,"Southampton","31-40","No"
"592","Primera clase","Femenino",52,"Con hermanos o cónyuges","Sin hijos ni padres",78.2667,"Cherbourg","51-60","Sí"
"593","Tercera clase","Masculino",47,"Sin hermanos ni cónyuges","Sin hijos ni padres",7.25,"Southampton","41-50","No"
"594","Tercera clase","Femenino",25,"Sin hermanos ni cónyuges","Con hijos o padres",7.75,"Queenstown","21-30","No"
"595","Segunda clase","Masculino",37,"Con hermanos o cónyuges","Sin hijos ni padres",26,"Southampton","31-40","No"
"596","Tercera clase","Masculino",36,"Con hermanos o cónyuges","Con hijos o padres",24.15,"Southampton","31-40","No"
"597","Segunda clase","Femenino",32,"Sin hermanos ni cónyuges","Sin hijos ni padres",33,"Southampton","31-40","Sí"
"598","Tercera clase","Masculino",49,"Sin hermanos ni cónyuges","Sin hijos ni padres",0,"Southampton","41-50","No"
"599","Tercera clase","Masculino",29,"Sin hermanos ni cónyuges","Sin hijos ni padres",7.225,"Cherbourg","21-30","No"
"600","Primera clase","Masculino",49,"Con hermanos o cónyuges","Sin hijos ni padres",56.9292,"Cherbourg","41-50","Sí"
"601","Segunda clase","Femenino",24,"Con hermanos o cónyuges","Con hijos o padres",27,"Southampton","21-30","Sí"
"602","Tercera clase","Masculino",29,"Sin hermanos ni cónyuges","Sin hijos ni padres",7.8958,"Southampton","21-30","No"
"603","Primera clase","Masculino",47,"Sin hermanos ni cónyuges","Sin hijos ni padres",42.4,"Southampton","41-50","No"
"604","Tercera clase","Masculino",44,"Sin hermanos ni cónyuges","Sin hijos ni padres",8.05,"Southampton","41-50","No"
"605","Primera clase","Masculino",35,"Sin hermanos ni cónyuges","Sin hijos ni padres",26.55,"Cherbourg","31-40","Sí"
"606","Tercera clase","Masculino",36,"Con hermanos o cónyuges","Sin hijos ni padres",15.55,"Southampton","31-40","No"
"607","Tercera clase","Masculino",30,"Sin hermanos ni cónyuges","Sin hijos ni padres",7.8958,"Southampton","21-30","No"
"608","Primera clase","Masculino",27,"Sin hermanos ni cónyuges","Sin hijos ni padres",30.5,"Southampton","21-30","Sí"
"609","Segunda clase","Femenino",22,"Con hermanos o cónyuges","Con hijos o padres",41.5792,"Cherbourg","21-30","Sí"
"610","Primera clase","Femenino",40,"Sin hermanos ni cónyuges","Sin hijos ni padres",153.4625,"Southampton","31-40","Sí"
"611","Tercera clase","Femenino",39,"Con hermanos o cónyuges","Con hijos o padres",31.275,"Southampton","31-40","No"
"612","Tercera clase","Masculino",29,"Sin hermanos ni cónyuges","Sin hijos ni padres",7.05,"Southampton","21-30","No"
"613","Tercera clase","Femenino",21,"Con hermanos o cónyuges","Sin hijos ni padres",15.5,"Queenstown","21-30","Sí"
"614","Tercera clase","Masculino",29,"Sin hermanos ni cónyuges","Sin hijos ni padres",7.75,"Queenstown","21-30","No"
"615","Tercera clase","Masculino",35,"Sin hermanos ni cónyuges","Sin hijos ni padres",8.05,"Southampton","31-40","No"
"616","Segunda clase","Femenino",24,"Con hermanos o cónyuges","Con hijos o padres",65,"Southampton","21-30","Sí"
"617","Tercera clase","Masculino",34,"Con hermanos o cónyuges","Con hijos o padres",14.4,"Southampton","31-40","No"
"618","Tercera clase","Femenino",26,"Con hermanos o cónyuges","Sin hijos ni padres",16.1,"Southampton","21-30","No"
"619","Segunda clase","Femenino",4,"Con hermanos o cónyuges","Con hijos o padres",39,"Southampton","0-10","Sí"
"620","Segunda clase","Masculino",26,"Sin hermanos ni cónyuges","Sin hijos ni padres",10.5,"Southampton","21-30","No"
"621","Tercera clase","Masculino",27,"Con hermanos o cónyuges","Sin hijos ni padres",14.4542,"Cherbourg","21-30","No"
"622","Primera clase","Masculino",42,"Con hermanos o cónyuges","Sin hijos ni padres",52.5542,"Southampton","41-50","Sí"
"623","Tercera clase","Masculino",20,"Con hermanos o cónyuges","Con hijos o padres",15.7417,"Cherbourg","11-20","Sí"
"624","Tercera clase","Masculino",21,"Sin hermanos ni cónyuges","Sin hijos ni padres",7.8542,"Southampton","21-30","No"
"625","Tercera clase","Masculino",21,"Sin hermanos ni cónyuges","Sin hijos ni padres",16.1,"Southampton","21-30","No"
"626","Primera clase","Masculino",61,"Sin hermanos ni cónyuges","Sin hijos ni padres",32.3208,"Southampton","61-70","No"
"627","Segunda clase","Masculino",57,"Sin hermanos ni cónyuges","Sin hijos ni padres",12.35,"Queenstown","51-60","No"
"628","Primera clase","Femenino",21,"Sin hermanos ni cónyuges","Sin hijos ni padres",77.9583,"Southampton","21-30","Sí"
"629","Tercera clase","Masculino",26,"Sin hermanos ni cónyuges","Sin hijos ni padres",7.8958,"Southampton","21-30","No"
"630","Tercera clase","Masculino",29,"Sin hermanos ni cónyuges","Sin hijos ni padres",7.7333,"Queenstown","21-30","No"
"631","Primera clase","Masculino",80,"Sin hermanos ni cónyuges","Sin hijos ni padres",30,"Southampton","71-80","Sí"
"632","Tercera clase","Masculino",51,"Sin hermanos ni cónyuges","Sin hijos ni padres",7.0542,"Southampton","51-60","No"
"633","Primera clase","Masculino",32,"Sin hermanos ni cónyuges","Sin hijos ni padres",30.5,"Cherbourg","31-40","Sí"
"634","Primera clase","Masculino",47,"Sin hermanos ni cónyuges","Sin hijos ni padres",0,"Southampton","41-50","No"
"635","Tercera clase","Femenino",9,"Con hermanos o cónyuges","Con hijos o padres",27.9,"Southampton","0-10","No"
"636","Segunda clase","Femenino",28,"Sin hermanos ni cónyuges","Sin hijos ni padres",13,"Southampton","21-30","Sí"
"637","Tercera clase","Masculino",32,"Sin hermanos ni cónyuges","Sin hijos ni padres",7.925,"Southampton","31-40","No"
"638","Segunda clase","Masculino",31,"Con hermanos o cónyuges","Con hijos o padres",26.25,"Southampton","31-40","No"
"639","Tercera clase","Femenino",41,"Sin hermanos ni cónyuges","Con hijos o padres",39.6875,"Southampton","41-50","No"
"640","Tercera clase","Masculino",26,"Con hermanos o cónyuges","Sin hijos ni padres",16.1,"Southampton","21-30","No"
"641","Tercera clase","Masculino",20,"Sin hermanos ni cónyuges","Sin hijos ni padres",7.8542,"Southampton","11-20","No"
"642","Primera clase","Femenino",24,"Sin hermanos ni cónyuges","Sin hijos ni padres",69.3,"Cherbourg","21-30","Sí"
"643","Tercera clase","Femenino",2,"Con hermanos o cónyuges","Con hijos o padres",27.9,"Southampton","0-10","No"
"644","Tercera clase","Masculino",28,"Sin hermanos ni cónyuges","Sin hijos ni padres",56.4958,"Southampton","21-30","Sí"
"645","Tercera clase","Femenino",0,"Con hermanos o cónyuges","Con hijos o padres",19.2583,"Cherbourg","0-10","Sí"
"646","Primera clase","Masculino",48,"Con hermanos o cónyuges","Sin hijos ni padres",76.7292,"Cherbourg","41-50","Sí"
"647","Tercera clase","Masculino",19,"Sin hermanos ni cónyuges","Sin hijos ni padres",7.8958,"Southampton","11-20","No"
"648","Primera clase","Masculino",56,"Sin hermanos ni cónyuges","Sin hijos ni padres",35.5,"Cherbourg","51-60","Sí"
"649","Tercera clase","Masculino",29,"Sin hermanos ni cónyuges","Sin hijos ni padres",7.55,"Southampton","21-30","No"
"650","Tercera clase","Femenino",23,"Sin hermanos ni cónyuges","Sin hijos ni padres",7.55,"Southampton","21-30","Sí"
"651","Tercera clase","Masculino",29,"Sin hermanos ni cónyuges","Sin hijos ni padres",7.8958,"Southampton","21-30","No"
"652","Segunda clase","Femenino",18,"Sin hermanos ni cónyuges","Con hijos o padres",23,"Southampton","11-20","Sí"
"653","Tercera clase","Masculino",21,"Sin hermanos ni cónyuges","Sin hijos ni padres",8.4333,"Southampton","21-30","No"
"654","Tercera clase","Femenino",22,"Sin hermanos ni cónyuges","Sin hijos ni padres",7.8292,"Queenstown","21-30","Sí"
"655","Tercera clase","Femenino",18,"Sin hermanos ni cónyuges","Sin hijos ni padres",6.75,"Queenstown","11-20","No"
"656","Segunda clase","Masculino",24,"Con hermanos o cónyuges","Sin hijos ni padres",73.5,"Southampton","21-30","No"
"657","Tercera clase","Masculino",29,"Sin hermanos ni cónyuges","Sin hijos ni padres",7.8958,"Southampton","21-30","No"
"658","Tercera clase","Femenino",32,"Con hermanos o cónyuges","Con hijos o padres",15.5,"Queenstown","31-40","No"
"659","Segunda clase","Masculino",23,"Sin hermanos ni cónyuges","Sin hijos ni padres",13,"Southampton","21-30","No"
"660","Primera clase","Masculino",58,"Sin hermanos ni cónyuges","Con hijos o padres",113.275,"Cherbourg","51-60","No"
"661","Primera clase","Masculino",50,"Con hermanos o cónyuges","Sin hijos ni padres",133.65,"Southampton","41-50","Sí"
"662","Tercera clase","Masculino",40,"Sin hermanos ni cónyuges","Sin hijos ni padres",7.225,"Cherbourg","31-40","No"
"663","Primera clase","Masculino",47,"Sin hermanos ni cónyuges","Sin hijos ni padres",25.5875,"Southampton","41-50","No"
"664","Tercera clase","Masculino",36,"Sin hermanos ni cónyuges","Sin hijos ni padres",7.4958,"Southampton","31-40","No"
"665","Tercera clase","Masculino",20,"Con hermanos o cónyuges","Sin hijos ni padres",7.925,"Southampton","11-20","Sí"
"666","Segunda clase","Masculino",32,"Con hermanos o cónyuges","Sin hijos ni padres",73.5,"Southampton","31-40","No"
"667","Segunda clase","Masculino",25,"Sin hermanos ni cónyuges","Sin hijos ni padres",13,"Southampton","21-30","No"
"668","Tercera clase","Masculino",29,"Sin hermanos ni cónyuges","Sin hijos ni padres",7.775,"Southampton","21-30","No"
"669","Tercera clase","Masculino",43,"Sin hermanos ni cónyuges","Sin hijos ni padres",8.05,"Southampton","41-50","No"
"670","Primera clase","Femenino",37,"Con hermanos o cónyuges","Sin hijos ni padres",52,"Southampton","31-40","Sí"
"671","Segunda clase","Femenino",40,"Con hermanos o cónyuges","Con hijos o padres",39,"Southampton","31-40","Sí"
"672","Primera clase","Masculino",31,"Con hermanos o cónyuges","Sin hijos ni padres",52,"Southampton","31-40","No"
"673","Segunda clase","Masculino",70,"Sin hermanos ni cónyuges","Sin hijos ni padres",10.5,"Southampton","61-70","No"
"674","Segunda clase","Masculino",31,"Sin hermanos ni cónyuges","Sin hijos ni padres",13,"Southampton","31-40","Sí"
"675","Segunda clase","Masculino",33,"Sin hermanos ni cónyuges","Sin hijos ni padres",0,"Southampton","31-40","No"
"676","Tercera clase","Masculino",18,"Sin hermanos ni cónyuges","Sin hijos ni padres",7.775,"Southampton","11-20","No"
"677","Tercera clase","Masculino",24,"Sin hermanos ni cónyuges","Sin hijos ni padres",8.05,"Southampton","21-30","No"
"678","Tercera clase","Femenino",18,"Sin hermanos ni cónyuges","Sin hijos ni padres",9.8417,"Southampton","11-20","Sí"
"679","Tercera clase","Femenino",43,"Con hermanos o cónyuges","Con hijos o padres",46.9,"Southampton","41-50","No"
"680","Primera clase","Masculino",36,"Sin hermanos ni cónyuges","Con hijos o padres",512.3292,"Cherbourg","31-40","Sí"
"681","Tercera clase","Femenino",25,"Sin hermanos ni cónyuges","Sin hijos ni padres",8.1375,"Queenstown","21-30","No"
"682","Primera clase","Masculino",27,"Sin hermanos ni cónyuges","Sin hijos ni padres",76.7292,"Cherbourg","21-30","Sí"
"683","Tercera clase","Masculino",20,"Sin hermanos ni cónyuges","Sin hijos ni padres",9.225,"Southampton","11-20","No"
"684","Tercera clase","Masculino",14,"Con hermanos o cónyuges","Con hijos o padres",46.9,"Southampton","11-20","No"
"685","Segunda clase","Masculino",60,"Con hermanos o cónyuges","Con hijos o padres",39,"Southampton","51-60","No"
